nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,test_nloglik
90,6,0.3,0,0.5,1,0.5,0.4518113457642197
100,6,0.3,0,0.5,1,0.5,0.45285851908096586
10,7,0.3,0,0.5,1,0.5,0.46439176062747906
20,7,0.3,0,0.5,1,0.5,0.4497398914903924
30,7,0.3,0,0.5,1,0.5,0.45021240055955986
40,7,0.3,0,0.5,1,0.5,0.4496203045357437
50,7,0.3,0,0.5,1,0.5,0.4509010017626536
60,7,0.3,0,0.5,1,0.5,0.4526754175572515
70,7,0.3,0,0.5,1,0.5,0.45396112290881463
80,7,0.3,0,0.5,1,0.5,0.4536912748196018
90,7,0.3,0,0.5,1,0.5,0.45460188295188514
100,7,0.3,0,0.5,1,0.5,0.4550977370326414
10,8,0.3,0,0.5,1,0.5,0.46453947362608333
20,8,0.3,0,0.5,1,0.5,0.4506947762234363
30,8,0.3,0,0.5,1,0.5,0.4505723031731372
40,8,0.3,0,0.5,1,0.5,0.45139433241003124
50,8,0.3,0,0.5,1,0.5,0.4525162248046714
60,8,0.3,0,0.5,1,0.5,0.45510398707856387
